,movie_CH,production_budget_CH,domestic_gross_CH,worldwide_gross_CH,international_gross,release_date,runtime_minutes,studio,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western
4,The Secret Life of Walter Mitty,91.0,58.0,187.0,129.0,12/25/2013,114.0,Fox,"Adventure,Comedy,Drama",False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,A Walk Among the Tombstones,28.0,26.0,62.0,36.0,9/19/2014,114.0,Uni.,"Action,Crime,Drama",True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Jurassic World,215.0,652.0,1648.0,996.0,6/12/2015,124.0,Uni.,"Action,Adventure,Sci-Fi",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
7,The Rum Diary,45.0,13.0,21.0,8.0,10/28/2011,119.0,FD,"Comedy,Drama",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,The Three Stooges,30.0,44.0,54.0,10.0,4/13/2012,92.0,Fox,"Comedy,Family",False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Tangled,260.0,200.0,586.0,386.0,11/24/2010,100.0,BV,"Adventure,Animation,Comedy",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,John Carter,275.0,73.0,282.0,209.0,3/9/2012,132.0,BV,"Action,Adventure,Sci-Fi",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
13,Dinner for Schmucks,69.0,73.0,86.0,13.0,7/30/2010,114.0,P/DW,Comedy,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,The A-Team,110.0,77.0,177.0,100.0,6/11/2010,117.0,Fox,"Action,Adventure,Thriller",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
15,The Possession,14.0,49.0,82.0,33.0,8/31/2012,92.0,LGF,"Horror,Mystery,Thriller",False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
16,Real Steel,110.0,85.0,263.0,178.0,10/7/2011,127.0,BV,"Action,Drama,Family",True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
17,The Giver,25.0,45.0,66.0,21.0,8/15/2014,97.0,Wein.,"Drama,Romance,Sci-Fi",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
18,Toy Story 3,200.0,415.0,1068.0,653.0,6/18/2010,103.0,BV,"Adventure,Animation,Comedy",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Puss in Boots,130.0,149.0,554.0,405.0,10/28/2011,90.0,P/DW,"Action,Adventure,Animation",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Life of Pi,120.0,124.0,620.0,496.0,11/21/2012,127.0,Fox,"Adventure,Drama,Fantasy",False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
29,The Crazies,19.0,39.0,56.0,17.0,2/26/2010,101.0,Over.,"Horror,Thriller",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
30,The Equalizer,55.0,101.0,192.0,91.0,9/26/2014,132.0,Sony,"Action,Crime,Thriller",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
31,Captain America: The First Avenger,140.0,176.0,370.0,194.0,7/22/2011,124.0,Par.,"Action,Adventure,Sci-Fi",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
34,Piranha 3D,24.0,25.0,83.0,58.0,8/20/2010,88.0,W/Dim.,"Comedy,Horror",False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
36,Ex Machina,13.0,25.0,38.0,13.0,4/10/2015,108.0,A24,"Drama,Mystery,Sci-Fi",False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
37,Tower Heist,85.0,78.0,150.0,72.0,11/4/2011,104.0,Uni.,"Action,Comedy,Crime",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,The Smurfs,110.0,142.0,563.0,421.0,7/29/2011,103.0,Sony,"Adventure,Animation,Comedy",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,The Mechanic,42.0,29.0,76.0,47.0,1/28/2011,93.0,CBS,"Action,Crime,Thriller",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
40,"Hail, Caesar!",22.0,30.0,64.0,34.0,2/5/2016,106.0,Uni.,"Comedy,Drama,Music",False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
43,Ant-Man,130.0,180.0,518.0,338.0,7/17/2015,117.0,BV,"Action,Adventure,Comedy",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,Season of the Witch,40.0,24.0,91.0,67.0,1/7/2011,95.0,Rela.,"Action,Adventure,Fantasy",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
46,Hall Pass,68.0,45.0,87.0,42.0,2/25/2011,105.0,WB (NL),"Comedy,Romance",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
47,The Croods,135.0,187.0,573.0,386.0,3/22/2013,98.0,Fox,"Action,Adventure,Animation",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,Red Tails,58.0,49.0,50.0,1.0,1/20/2012,125.0,Fox,"Action,Adventure,Drama",True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,Something Borrowed,35.0,39.0,65.0,26.0,5/6/2011,112.0,WB,"Comedy,Drama,Romance",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
52,Tulip Fever,25.0,2.0,6.0,4.0,9/1/2017,105.0,Wein.,"Drama,History,Romance",False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
53,Furry Vengeance,35.0,17.0,39.0,22.0,4/30/2010,92.0,Sum.,"Comedy,Family",False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
55,Ramona and Beezus,15.0,26.0,27.0,1.0,7/23/2010,103.0,Fox,"Adventure,Comedy,Family",False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
56,Rings,25.0,27.0,82.0,55.0,2/3/2017,102.0,Par.,"Drama,Horror,Mystery",False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
57,A Thousand Words,40.0,18.0,20.0,2.0,3/9/2012,91.0,P/DW,"Comedy,Drama",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,Samsara,4.0,2.0,5.0,3.0,8/24/2012,102.0,Osci.,"Documentary,Music",False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
61,Man of Steel,225.0,291.0,667.0,376.0,6/14/2013,143.0,WB,"Action,Adventure,Sci-Fi",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
64,The Wolfman,150.0,62.0,142.0,80.0,2/12/2010,103.0,Uni.,"Drama,Fantasy,Horror",False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
65,The Boxtrolls,60.0,50.0,111.0,61.0,9/26/2014,96.0,Focus,"Adventure,Animation,Comedy",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,The Man Who Knew Infinity,10.0,3.0,12.0,9.0,4/29/2016,108.0,IFC,"Biography,Drama",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
