,clean_title,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,title,studio,domestic_grossbom,foreign_grossbom,year,worldwide_grossbom,Sport,Crime,News,Romance,Sci-Fi,Western,Horror,Drama,Family,nan,Mystery,Musical,Fantasy,Adventure,Documentary,Thriller,Comedy,Reality-TV,Music,History,Action,Animation,averagerating,numvotes,release_date_CH,movie_CH,production_budget_CH,domestic_gross_CH,worldwide_gross_CH,international_gross,genre_ids
0,foodfight!,tt0249516,Foodfight!,Foodfight!,2012,91.0,"Action,Animation,Comedy",26,2012-12-31,Foodfight!,45000000,0,73706,73706,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,1.9,8248.0,,,,,,,
1,mortal kombat,tt0293429,Mortal Kombat,Mortal Kombat,2021,,"Action,Adventure,Fantasy",10,1995-08-18,Mortal Kombat,20000000,70433227,122133227,51700000,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,,,,,,,,,
2,the overnight,tt0326592,The Overnight,The Overnight,2010,88.0,,21,2015-06-19,The Overnight,200000,1109808,1165996,56188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,24.0,,,,,,,
3,on the road,tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",17,2013-03-22,On the Road,25000000,720828,9313302,8592474,On the Road,IFC,744000.0,8000000.0,2012.0,8744000.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6.1,37886.0,,,,,,,
4,the secret life of walter mitty,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",37,2013-12-25,The Secret Life of Walter Mitty,91000000,58236838,187861183,129624345,The Secret Life of Walter Mitty,Fox,58200000.0,129900000.0,2013.0,188100000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,7.3,275300.0,"Dec 25, 2013",The Secret Life of Walter Mitty,91.0,58.0,187.0,129.0,"[adventure, comedy, drama, fantasy]"
5,a walk among the tombstones,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",67,2014-09-19,A Walk Among the Tombstones,28000000,26017685,62108587,36090902,A Walk Among the Tombstones,Uni.,26300000.0,26900000.0,2014.0,53200000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6.5,105116.0,"Sep 19, 2014",A Walk Among the Tombstones,28.0,26.0,62.0,36.0,"[crime, drama, mystery, thriller]"
6,jurassic world,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",34,2015-06-12,Jurassic World,215000000,652270625,1648854864,996584239,Jurassic World,Uni.,652300000.0,1019.0,2015.0,652301019.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,7.0,539338.0,"Jun 12, 2015",Jurassic World,215.0,652.0,1648.0,996.0,"[action, adventure, sci-fi, thriller]"
7,the rum diary,tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",16,2011-10-28,The Rum Diary,45000000,13109815,21544732,8434917,The Rum Diary,FD,13100000.0,10800000.0,2011.0,23900000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.2,94787.0,"Oct 28, 2011",The Rum Diary,45.0,13.0,21.0,8.0,"[drama, comedy]"
8,the three stooges,tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",4,2012-04-13,The Three Stooges,30000000,44338224,54052249,9714025,The Three Stooges,Fox,44300000.0,10500000.0,2012.0,54800000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,5.1,28570.0,"Apr 13, 2012",The Three Stooges,30.0,44.0,54.0,10.0,[comedy]
9,andersons cross,tt0393049,Anderson's Cross,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",65,2010-12-31,Anderson's Cross,300000,0,0,0,,,,,,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.5,106.0,,,,,,,
10,tangled,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",15,2010-11-24,Tangled,260000000,200821936,586477240,385655304,Tangled,BV,200800000.0,391000000.0,2010.0,591800000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,7.8,366366.0,"Nov 24, 2010",Tangled,260.0,200.0,586.0,386.0,"[animation, family]"
11,john carter,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",14,2012-03-09,John Carter,275000000,73058679,282778100,209719421,John Carter,BV,73100000.0,211100000.0,2012.0,284200000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,6.6,241792.0,"Mar 9, 2012",John Carter,275.0,73.0,282.0,209.0,"[action, adventure, sci-fi]"
12,action jackson,tt0403935,Action Jackson,Action Jackson,2014,144.0,"Action,Thriller",8,1988-02-12,Action Jackson,7000000,20257000,20257000,0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3.3,2862.0,,,,,,,
13,dinner for schmucks,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,51,2010-07-30,Dinner for Schmucks,69000000,73026337,86796502,13770165,Dinner for Schmucks,P/DW,73000000.0,13800000.0,2010.0,86800000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.9,91546.0,"Jul 30, 2010",Dinner for Schmucks,69.0,73.0,86.0,13.0,[comedy]
14,the a-team,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",32,2010-06-11,The A-Team,110000000,77222099,177241171,100019072,The A-Team,Fox,77200000.0,100000000.0,2010.0,177200000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,6.8,235256.0,"Jun 11, 2010",The A-Team,110.0,77.0,177.0,100.0,"[thriller, action, adventure, comedy, crime]"
15,the possession,tt0431021,The Possession,The Possession,2012,92.0,"Horror,Mystery,Thriller",81,2012-08-31,The Possession,14000000,49130588,82925064,33794476,The Possession,LGF,49100000.0,36300000.0,2012.0,85400000.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,5.9,53649.0,"Aug 31, 2012",The Possession,14.0,49.0,82.0,33.0,"[horror, thriller]"
16,real steel,tt0433035,Real Steel,Real Steel,2011,127.0,"Action,Drama,Family",31,2011-10-07,Real Steel,110000000,85463309,263880341,178417032,Real Steel,BV,85500000.0,213800000.0,2011.0,299300000.0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,7.1,283534.0,"Oct 7, 2011",Real Steel,110.0,85.0,263.0,178.0,"[action, sci-fi, drama]"
17,the giver,tt0435651,The Giver,The Giver,2014,97.0,"Drama,Romance,Sci-Fi",2,2014-08-15,The Giver,25000000,45090374,66540205,21449831,The Giver,Wein.,45100000.0,21900000.0,2014.0,67000000.0,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.5,104999.0,"Aug 15, 2014",The Giver,25.0,45.0,66.0,21.0,"[drama, sci-fi]"
18,toy story 3,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",47,2010-06-18,Toy Story 3,200000000,415004880,1068879522,653874642,Toy Story 3,BV,415000000.0,652000000.0,2010.0,1067000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,8.3,682218.0,"Jun 18, 2010",Toy Story 3,200.0,415.0,1068.0,653.0,"[animation, family, comedy]"
19,alita: battle angel,tt0437086,Alita: Battle Angel,Alita: Battle Angel,2019,122.0,"Action,Adventure,Sci-Fi",24,2019-02-14,Alita: Battle Angel,170000000,85710210,402976036,317265826,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,7.5,88207.0,,,,,,,
20,lincoln,tt0443272,Lincoln,Lincoln,2012,150.0,"Biography,Drama,History",73,2012-11-09,Lincoln,65000000,182207973,273346281,91138308,Lincoln,BV,182200000.0,93100000.0,2012.0,275300000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7.4,228701.0,"Nov 9, 2012",Lincoln,65.0,182.0,273.0,91.0,"[history, drama]"
21,before we go,tt0443465,Before We Go,Before We Go,2014,95.0,"Comedy,Drama,Romance",52,2015-09-04,Before We Go,3000000,37151,483938,446787,Before We Go,RTWC,37200.0,,2015.0,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.8,45181.0,,,,,,,
22,the history of love,tt0443533,The History of Love,The History of Love,2016,134.0,"Drama,Romance,War",12,2016-11-18,The History of Love,20000000,0,476624,476624,,,,,,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.3,1024.0,,,,,,,
23,scott pilgrim vs. the world,tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy",22,2010-08-13,Scott Pilgrim vs. The World,85000000,31611316,48056764,16445448,Scott Pilgrim vs. the World,Uni.,31500000.0,16100000.0,2010.0,47600000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,7.5,339338.0,,,,,,,
24,shazam!,tt0448115,Shazam!,Shazam!,2019,132.0,"Action,Adventure,Comedy",97,2019-04-05,Shazam!,85000000,139606856,362899733,223292877,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,7.4,109051.0,,,,,,,
25,puss in boots,tt0448694,Puss in Boots,Puss in Boots,2011,90.0,"Action,Adventure,Animation",46,2011-10-28,Puss in Boots,130000000,149260504,554987477,405726973,Puss in Boots,P/DW,149300000.0,405700000.0,2011.0,555000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,6.6,133355.0,"Oct 28, 2011",Puss in Boots,130.0,149.0,554.0,405.0,"[action, adventure, animation, family, fantasy, comedy]"
26,wonder woman,tt0451279,Wonder Woman,Wonder Woman,2017,141.0,"Action,Adventure,Fantasy",55,2017-06-02,Wonder Woman,150000000,412563408,821133378,408569970,Wonder Woman,WB,412600000.0,409300000.0,2017.0,821900000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,7.5,487527.0,,,,,,,
27,42,tt0453562,42,42,2013,128.0,"Biography,Drama,Sport",22,2013-04-12,42,31000000,95020213,97470701,2450488,,,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.5,77703.0,"Apr 12, 2013",42,31.0,95.0,97.0,2.0,[drama]
28,life of pi,tt0454876,Life of Pi,Life of Pi,2012,127.0,"Adventure,Drama,Fantasy",88,2012-11-21,Life of Pi,120000000,124987022,620912003,495924981,Life of Pi,Fox,125000000.0,484000000.0,2012.0,609000000.0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,7.9,535836.0,"Nov 21, 2012",Life of Pi,120.0,124.0,620.0,496.0,"[adventure, drama, action]"
